id,text,type
703023734899273728,os cara tava suave final de de semana achando que o zika só causava microcefalia (o que é mentira) até descobrir que tb causa guillain barré,noise
703674467919249408,consumindo mais veneno que mosquito da dengue,noise
704329289982992384,dor no corpo dor no olho febre cansaço pesquisar google > dengue,receiver
699399756024586240,Tenho que passar um trem fedorento mas pernas Mano KKKKKKKKKKK Pq vizinha minha foi picada pela dengue aí é melhor evitar ne #VoteBiel #KCA,provider
709525349600784385,"@maaressa_ Cuidado com a dengue menina, vai no medico",receiver
698718022278758400,barbie assiste oitnb ela ama sexo lesbico eu ja sabia  https://t.co/SEOEyhU0T7,noise
731195366805278720,@diogomainardi pode espantar o mosquito da dengue,provider
699015544138264576,@friendswhyyy vou mandar os caça zika virus caçarem sua tpm pra você se livrar dela,noise
746788872244232192,"A Inglaterra saiu da UE! Ai meu Deus!  Amigo, você tá no metrô, se preocupa com a Dengue.",noise
699348123605409792,RT @IgorBaptiista: O mosquito da dengue está dando uma de digimon e evoluindo.,noise
705581338796105729,Eles estão de mosquito da dengue??,noise
704060452133871622,@viniciuspgaiola obrigada acabei de chegar to com suspeita de zika tomei na bunda LITERALMENTE uma injeção DOREI NÉ,receiver
763553794147876864,Talvez eu coma uranio e não morra e um mosquito me pica com dengue e eu morra,noise
698004308466515968,mosquito da dengue agora é capaz de causar morte de animais domésticos' e eu pensando que os viados que iriam dominar o mundo,noise
697915688841822214,Sério que o mosquito da dengue pica mais pessoas com roupas pretas? --' to fooodida kkkkkkkkjkk,noise
702367931531972613,Eu quero ir na virada cultural na paulista pega Zika vírus,receiver
722444872993632257,a tia do bar tava com uma máscara hoje será que ela tá com zika vírus?,receiver
755084808544452608,"@FlaaCamargo HAHAHAHA tenho que parar com isso, fui infectada pelo zika vírus Fla scrr",receiver
721093236610228224,Agora tô com medo de estar com zika vírus,receiver
703383349172248581,"@larammt nossa e veja se tem teste rápido pra dengue, porque o exame de sangue, só vai dizer se pode ser, ai depois vem o teste rapido..",receiver
703557714174152704,"Meu avô é muito vida loka, ele joga um demônio chamado Criolina na casa inteira para espantar mosquito da dengue"", pense num cheiro.""",provider
706562358819344385,RT @iPerosso: @btfDavila nossa você é igual ao mosquito da dengue,noise
